walk,168,97,987,1432,-32
walk,168,97,987,1525,-3
walk,168,97,978,1744,-6
walk,168,97,1163,1758,-6
walk,168,97,1623,1766,-6
walk,169,97,39,1757,-4
walk,169,97,540,1765,-5
walk,169,97,1071,1790,-5
walk,169,97,1432,1826,0
walk,169,97,1626,1820,0
walk,169,97,1703,1820,0
walk,169,97,1774,1818,0
walk,169,97,1798,1818,0
walk,169,97,1822,1768,0
walk,169,97,1831,1707,0
walk,169,97,1860,1625,1
walk,169,97,1893,1567,2
walk,170,97,10,1536,7
walk,170,97,106,1529,7
walk,170,97,187,1539,3
walk,170,97,276,1563,0
walk,170,97,390,1621,0
walk,170,97,509,1703,0
walk,170,97,595,1756,-3
walk,170,97,737,1848,-24
walk,170,97,883,1846,-23
walk,170,97,1120,1842,-20
walk,170,97,1299,1836,-20
walk,170,97,1605,1860,-17
walk,171,98,200,46,-17
walk,171,98,647,94,4
walk,171,98,1280,163,35
walk,171,98,1585,233,87
walk,172,98,251,378,143
walk,172,98,524,535,193
walk,172,98,704,674,212
walk,172,98,968,869,192
walk,172,98,977,1132,172
walk,172,98,969,1706,65
walk,172,99,961,370,21
walk,172,99,948,722,47
walk,172,99,937,1274,54
walk,172,99,933,1871,50
walk,172,100,936,436,49
walk,172,100,933,1000,49
walk,172,100,929,1556,50
walk,172,101,929,157,50
walk,172,101,940,621,50
walk,172,101,949,1087,50
walk,172,101,945,1439,50
walk,172,101,946,1568,74
walk,172,101,947,1750,89
walk,172,102,951,398,1
walk,172,102,949,710,1
walk,172,102,952,958,38
walk,172,102,950,1145,85
walk,172,102,954,1268,99
walk,172,102,958,1476,111
walk,172,102,957,1661,111
walk,172,102,957,1746,140
walk,172,102,962,1797,150
killhorse
walk,172,102,962,1843,150
wait,5000
walk,7,128,19|0,-2796|65535,-77|65535
walk,7,128,13|0,-2663|65535,-77|65535
walk,7,128,12|0,-2424|65535,-77|65535
walk,7,128,14|0,-2218|65535,-77|65535
walk,7,128,10|0,-2028|65535,-77|65535
walk,7,128,-1|65535,-1911|65535,-77|65535
walk,7,128,14|0,-1762|65535,-77|65535
