walk,153,102,862,1471,-106
walk,153,102,734,1656,-106
walk,153,102,479,1806,-106
walk,153,102,249,1880,-106
walk,152,102,1899,1882,-104
walk,152,102,1679,1877,-104
walk,152,102,1470,1869,-101
walk,152,102,1184,1858,-97
walk,152,102,907,1858,-94
walk,152,102,588,1865,-102
walk,152,102,303,1866,-108
walk,152,102,121,1776,-111
walk,151,102,1838,1705,-123
walk,151,102,1568,1692,-123
walk,151,102,1297,1690,-121
walk,151,102,1034,1706,-109
walk,151,102,712,1780,-104
walk,151,102,347,1853,-113
walk,150,102,1913,1871,-115
walk,150,102,1472,1850,-95
walk,150,103,1196,12,-65
walk,150,103,959,165,-41
walk,150,103,736,385,-9
walk,150,103,539,660,3
walk,150,103,335,980,-10
walk,150,103,175,1208,-10
walk,149,103,1879,1506,-16
walk,149,103,1598,1897,-36
walk,149,104,1439,226,-24
walk,149,104,1253,503,-19
walk,149,104,1047,806,-12
walk,149,104,840,1056,4
walk,149,104,568,1331,50
walk,149,104,307,1582,105
walk,149,104,31,1842,171
walk,148,105,1727,173,238
walk,148,105,1457,471,299
walk,148,105,1257,704,373
walk,148,105,1087,1051,439
walk,148,105,859,1280,447
walk,148,105,561,1451,460
walk,148,105,200,1676,452
walk,147,105,1795,1859,452
walk,147,105,1686,1915,474
walk,147,105,1605,1979,474
wait,5000
walk,1,128,991|0,-685|65535,0|0
walk,1,128,982|0,-389|65535,0|0
walk,1,128,980|0,-341|65535,0|0
walk,1,128,798|0,-340|65535,0|0
walk,1,128,638|0,-334|65535,0|0
walk,1,128,620|0,-196|65535,0|0
walk,1,128,624|0,-4|65535,0|0
walk,1,128,633|0,148|0,-9|65535
walk,1,128,628|0,174|0,-9|65535
