walk,135,92,723,438,244
walk,135,92,286,463,243
walk,135,92,-41,477,244
walk,134,92,1612,482,147
walk,134,92,1209,480,11
walk,134,92,985,475,12
walk,134,92,729,479,12
walk,134,92,449,478,12
walk,134,92,193,479,12
walk,133,92,1853,478,21
walk,133,92,1683,477,69
walk,133,92,1105,505,153
walk,133,92,586,599,305
walk,133,92,143,645,453
walk,132,92,1739,734,564
walk,132,92,1305,872,650
walk,132,92,843,959,695
walk,132,92,576,1007,696
walk,132,92,111,1092,633
walk,131,92,1487,1072,551
walk,131,92,1086,1064,559
walk,131,92,584,1068,575
walk,130,92,1771,1053,548
walk,130,92,1080,1098,581
walk,130,92,558,1024,714
walk,130,92,218,962,807
walk,129,92,1733,850,874
walk,129,92,1447,738,881
walk,129,92,1103,522,825
walk,129,92,659,325,800
walk,129,91,157,1883,800
walk,128,91,1545,1539,800
walk,128,91,1200,1175,800
walk,128,91,731,995,800
walk,128,91,24,740,800
walk,127,91,1595,1070,800
walk,127,91,1248,1351,800
walk,127,91,1063,1537,800
walk,127,91,870,1746,800
walk,127,91,589,1850,800
walk,127,91,13,1701,800
walk,126,91,1624,1636,800
walk,126,91,1268,1595,800
walk,126,91,837,1530,800
walk,126,91,497,1483,800
walk,126,91,159,1480,800
walk,125,91,1681,1304,800
walk,125,91,1396,992,800
walk,125,91,1722,1237,800
walk,126,91,245,1544,800
walk,126,91,451,1689,800
walk,126,91,589,1734,800
