walk,79,105,724,1192,83
walk,79,105,573,1231,83
walk,79,105,452,1292,79
walk,79,105,289,1344,80
walk,79,105,146,1369,80
walk,78,105,1884,1385,80
walk,78,105,1705,1399,80
walk,78,105,1553,1410,80
walk,78,105,1405,1421,80
walk,78,105,1258,1422,80
walk,78,105,1104,1428,80
walk,78,105,1005,1433,80
walk,78,105,873,1437,80
walk,78,105,752,1441,80
walk,78,105,639,1443,80
walk,78,105,531,1449,80
walk,78,105,401,1451,80
walk,78,105,275,1456,80
walk,78,105,149,1470,80
walk,78,105,26,1476,80
walk,77,105,1860,1483,80
walk,77,105,1768,1482,80
walk,77,105,1667,1484,80
walk,77,105,1536,1490,79
walk,77,105,1411,1491,79
walk,77,105,1282,1492,79
walk,77,105,1147,1494,79
walk,77,105,1010,1495,78
walk,77,105,845,1494,31
walk,77,105,684,1486,-1
walk,77,105,495,1492,7
walk,77,105,339,1494,7
walk,77,105,169,1498,7
walk,77,105,45,1500,7
walk,77,105,-121,1504,7
walk,76,105,1656,1488,1
walk,76,105,1618,1334,1
walk,76,105,1618,1173,1
walk,76,105,1614,1090,1
walk,76,105,1610,931,1
walk,76,105,1612,813,1
walk,76,105,1558,723,1
walk,76,105,1452,617,1
walk,76,105,1365,609,0
walk,76,105,1236,580,-32
walk,76,105,1075,546,-55
walk,76,105,973,537,-68
walk,76,105,838,515,-84
walk,76,105,691,567,-96
walk,76,105,546,586,-103
walk,76,105,398,592,-112
walk,76,105,267,605,-114
walk,76,105,142,616,-119
walk,76,105,48,622,-120
walk,75,105,1823,643,-124
walk,75,105,1711,669,-123
walk,75,105,1599,727,-118
walk,75,105,1483,783,-117
walk,75,105,1371,850,-119
walk,75,105,1264,949,-105
walk,75,105,1135,1040,-103
walk,75,105,1019,1114,-94
walk,75,105,878,1162,-92
walk,75,105,722,1176,-91
walk,75,105,572,1216,-86
walk,75,105,423,1273,-85
walk,75,105,318,1301,-90
walk,75,105,140,1317,-112
walk,75,105,25,1298,-115
walk,74,105,1777,1245,-136
walk,74,105,1614,1211,-149
walk,74,105,1458,1237,-156
walk,74,105,1278,1259,-169
walk,74,105,1064,1286,-165
walk,74,105,862,1311,-174
walk,74,105,703,1309,-173
walk,74,105,561,1336,-169
walk,74,105,420,1343,-163
walk,74,105,283,1367,-160
walk,74,105,133,1421,-158
walk,73,105,1903,1469,-158
walk,73,105,1765,1491,-158
walk,73,105,1639,1491,-152
walk,73,105,1467,1492,-152
walk,73,105,1292,1493,-152
walk,73,105,1102,1497,-152
walk,73,105,932,1497,-152
walk,73,105,784,1508,-152
walk,73,105,643,1548,-162
walk,73,105,535,1706,-162
walk,73,105,451,1834,-162
walk,73,105,428,1912,-162
walk,73,106,401,70,-163
walk,73,106,380,163,-163
walk,73,106,363,257,-164
walk,73,106,343,332,-166
